l_english:
 ###ETH FLAVOR EVENTS###
 flavor_eth.29.t:0 "The Itinerant Capital of [Root.GetName]"
 israel_nation_title:0 "Re-Establish Israel"
 israel_nation_desc:0 "As was promised, the land of Israel is again free from gentile tyranny, the majesty of David has been re-established and the holy city of Jerusalem rebuilt. The Lord has returned to Zion with mercy and the towns again overflow with prosperity."
 federal_kingdoms_gather_the_armies_title:0 "Confederal Kingdoms: Gather the Armies"
 federal_kingdoms_gather_the_armies_desc:0 "We can organize new contingents of recruits through our relations with the several kingdoms of [Root.GetName]."
 federal_kingdoms_internal_royal_marriage_title:1 "Конфедеративні королівства: Шлюб за домовленістю"
 federal_kingdoms_internal_royal_marriage_desc:0 "We can use our internal relations to arrange a marriage of [Root.Monarch.GetName] with one of the spouses of the other kingdoms in our realm."
 federal_celebrate_rituals_together_title:0 "Confederal Kingdoms: Celebrate Rituals"
 federal_celebrate_rituals_together_desc:0 "In special times it is important to remember what binds us together and celebrate the festivals of our people."
 federal_gain_tribal_allegiance_title:0 "Confederal Kingdoms: Gain Tribal Allegiance"
 federal_gain_tribal_allegiance_desc:0 "The kingdoms proclaim their allegiance to the [Root.Monarch.GetTitle]."
 kitara_nation_title:0 "Claim the Empire of Kitara Title"
 kitara_nation_desc:0 "After much struggle and suffering, we have united the people of the Great Lakes and mended the divide that separated us. It is time now to rebuild the unity that was once lost and raise again the banner of Kitara so everyone might see that we stand as one."
 macina_nation_title:0 "Form Macina"
 macina_nation_desc:0 "Our people have endured terrible injustice and tyranny under our old overlords, but we have finally freed ourselves of their yoke and are now ready to carve our own path. Let's raise our new banner as a symbol of our freedom and as a warning for those who would dare to threaten it."
 mali_nation_title:0 "Take the Mantle of Mali"
 mali_nation_desc:0 "The powerful and prosperous Mali Empire fell many years ago due to jealous neighbors and squabbling chieftains. Despite that, the spirit of Mali can not be destroyed, it will always survive inside its people. Now the lands around Manding are united again, it is time for a new Mansa to rise up and bring the empire back to its former glory."
 mossi_nation_title:0 "Об'єднати королівства Мосі"
 mossi_nation_desc:0 "For too many years the sons of princess Yennega have fought between themselves. But now the constant rivalries and feuds have been quenched and long lost brothers are again riding side by side. It is time to turn our eyes to the world and let them know that the Mossi are one."
 nubian_nation_title:0 "Об'єднати нубійців"
 nubian_nation_desc:0 "Since ancient times the kingdoms of Nubia have been threatened from the north and the south by heathens that only want to take our people and our wealth. It is time that we set aside our differences and unite as one Nubian nation under God."
 rozwi_nation_title:0 "Утворити імперію Розві"
 rozwi_nation_desc:0 "We are warriors. We have expelled the foreign menace, pacified the land of Zimbabwe, built great stone cities, mined gold from the depths of the earth, hunted ferocious beasts, protected the trade and united the people. We are the Rozwi!"
 somalia_nation_title:0 "Об'єднати сомалійські клани"
 somalia_nation_desc:0 "Since ancient times the Somalis have inhabited the Horn of Africa, but they have always been divided and have competed between each other, both in trade and in the field of battle. Everything changes now as the people leave rivalries behind and finally stand united under the same banner."
 ###ZIM MODIFIERS###
 zim_declining_city:0 "Покинуті руїни"
 desc_zim_declining_city:1 "Ця провінція - занедбане місто без ресурсів, і залишилася лише жменька людей, які управляють провінцією. Спроба повернути людей у місто виявиться складним завданням."
 zim_restored_capital:0 "Відновлена столиця"
 desc_zim_restored_capital:0 "Завдяки зосередженим зусиллям та самовідданості місту Зімбабве було відновлено його колишню велич, і тепер воно служить королівському двору як місце зосередження влади."
 zim_desecrated_kingdom:0 "Осквернене королівство"
 desc_zim_desecrated_kingdom:0 "Зімбабве — резиденція наших предків. Віддавши його ворогам нашого царства, священний король виявив слабкість і не придатний до правління."
 zim_desecrated_kingdom_tt:0 "триває доти, доки [Root.GetName] знову не заволодіє Зімбабве"
 ###ADAL MODIFIERS###
 ada_preperation_for_war:0 "Підготовка до Адаланської війни"
 desc_ada_preperation_for_war:0 "У адаланському суспільстві завжди є війна. Ми всі чекаємо і готуємося до того дня, коли нападемо на ефіопів...\n\nМи отримуємо модифікатор '§YАдалано-ефіопська війна§!' поки ми перебуваємо у війні з державою §Y[ETH.GetName]§!, розвиток якої дорівнює або вищий за наш власний, що матиме такі ефекти:\nБойовий дух армії: §G+5.0%§!\nШвидкість поповнення новобранців: §G+10.0%§!\nЩомісячна зміна благочестя: §Y+0.1§!\n"
