l_ukrainian:
 nw_native_ideas:0 "Ідеї тубільців Північного Заходу"
 MIGRATE_PROVINCE_TRUCE:0 "§RНеможливо мігрувати до провінції $PROV|Y$ оскільки ми маємо перемир'я з племенем $OWNER|Y$.§!"
 PEACEOFFER_ALREADY_FORCED_TO_LEAVE:0 "Плем'я $WHO|Y$ вже змусили мігрувати."
 PEACEOFFER_NO_TARGET_MIGRATION_PROVINCE:0 "Нема відповідної провінції для міграції."
 FORCE_OUT_COLONIZERS_TO_LIST_TEXT:0 "Покинути колонії"
 FORCE_OUT_COLONIZERS_TO_TOOLTIP:0 "Плем'я $WHO|Y$ буде змушене відмовитися від свого володіння в межах нашої племінної землі."
 cb_push_back_colonizers:0 "Відкинути колонізаторів"
 cb_push_back_colonizers_desc:0 "Треба відкинути загарбників з нашої землі!"
 MODIFIER_MONTHLY_REFORM_PROGRESS:0 "Щомісячний прогрес реформ від будівель"
 MODIFIER_MONTHLY_REFORM_PROGRESS_BUILDING:1 "Щомісячний прогрес реформ"
 MONTHLY_REFORM_PROGRESS_BUILDING_ENTRY:0 "\n$PROV|Y$: $VAL|+=2$"
 MIGRATE_NOT_MIGRATORY:0 "Ми не мігруюче плем'я"
 REFORM_PROGRESS_HELP_DESC:0 "Чим нижче місцева автономія, тим швидше ви отримаєте бали реформ."
 NATIVE_REFORM_PROGRESS_HELP_DESC:1 "Як тубільці, ми отримуємо прогрес реформ від будівель."
 EMBRACE_INSTITUTIONS_OF_EFFECT:0 "Приймемо всі інституції, які прийняла держава $WHO|Y$.\n"
 NEEDS_NATIVE_SPONSOR:0 "Сусідна країна, за допомогою якої ми реформуємось."
 GOVERNMENT_FROM_NATIVE_SPONSOR:0 "Набудемо форми правління держави, за допомогою якої ми реформуємося."
 GOV_CHANGE_TAG:0 "Прийняти форму правління $GOV|Y$ від держави $WHO|Y$.\n"
 EVERY_TRIBAL_LAND_PROV:0 "Усі провінції, що відносяться до племінної землі"
 EMBRACEMENT_TRIBAL_DEV:0 "Племінний розвиток: $VAL|Y$¤($DEV|Y$ розвитку)"
 EMBRACEMENT_RATIO_MIGRATORY:0 "Як міграційне плем'я, наша столиця повинна прийняти цю інституцію."
 ESTATE_PRIVILEGE_MAX_GRANTED:2 "§RВи не можете надати стану $ESTATE|Y$ більше $MAX|Y0$ привілеїв.§!"
 CURIA_BUY_INDULGENCE_AT_WAR:0 "§RЗараз ви ведете війну через відлучення від церкви.§!"
 GOVERNING_COST_PROV_EXTRA:0 "\n\nЦей показник додатково збільшується внаслідок: $VAL|0-=$\n$MODIFIER$"
 EXPAND_INFRASTRUCTURE:0 "Розширити інфраструктуру"
 EXPAND_INFRASTRUCTURE_DESC:0 "Розширивши інфраструктуру в провінції $NAME|Y$ ми отримаємо:\n$MODIFIERS$"
 expanded_infrastructure:0 "Розширили інфраструктуру"
 MODIFIER_ALLOWED_NUM_OF_MANUFACTORIES:0 "Допустиме число мануфактур"
 MODIFIER_LOCAL_GOVERNING_INCREASE_COST:0 "Підвищення витрат на місцеве самоврядування"
 EXPAND_INFRASTRUCTURE_NEEDED_DEV:0 "\n§RПровінція повинна мати $DEV|Y$ розвитку для наступного рівня інфраструктури.§!"
 EXPAND_INFRASTRUCTURE_TOOLTIP:0 "§YРозширити інфраструктуру§!"
 EXPAND_INFRASTRUCTURE_TOOLTIP_MODIFIER:0 "Розширення інфраструктури дасть провінції такі ефекти:\n$MODIFIER$\n"
 CEDE_PROVINCE_DEMAND_TRIBAL:0 "Племінна земля"
 cb_native_american_tribal_feud:0 "Ворожнеча за племінні землі"
 PUSH_BACK_COLONIZERS:0 "$ORDER$$FIRST$-$SECOND$ війна проти загарбників"
 NATIVE_TRIBE_MIGRATORY_DEVELOPMENT_HEADER_TOOLTIP:1 "§YПлемінний розвиток§!\nОсідаючи на землях зі спустошенням менше §Y100%§! ми щомісяця отримуємо племінний розвиток. Ми отримуємо додатковий племінний розвиток, осідаючи на чужих племінних землях.\nВеличину досягнутого племінного розвитку буде поділено на поточний племінний розвиток, якщо вона вище 1."
 NATIVE_TRIBE_SETTLED_DEVELOPMENT_HEADER_TOOLTIP:1 "§YПлемінний розвиток§!\nЗавдяки побудовам у наших поселеннях, розвиток нашого племені у столиці зростає щомісяця.\nВеличину досягнутого племінного розвитку буде поділено на поточний племінний розвиток, якщо вона вище 1."
 TAKE_NATIVE_AMERICAN_LAND_WAR_NAME:0 "$ORDER$$FIRST$-$SECOND$ прикордонна ворожнеча"
 NATIVE_TRIBE_SETTLE_NON_TRIBAL_LAND:0 "Провінція §R$PROV|Y$ не належить до нашої племінної землі.§!"
